datetime,contract,symbol,exchange,open,high,low,close,volume,money,open_interest,high_limit,low_limit,close_MACD,close_MACD_Signal,close_MACD_Hist,close_MACD_Hist_status,close_MA_5,close_change_rate,close_change_rate_r_zscore_5,close_change_rate_r_zscore_10,close_change_rate_r_zscore_22,close_change_rate_r_zscore_126,close_r_percentile_5,close_r_percentile_10,close_r_percentile_22,close_r_percentile_126,contract_size,vwap
2025-01-02,LR8888.CZCE,LR8888,CZCE,2360.0,2360.0,2360.0,2360.0,0,0.0,0,2691.001,2029.0,,,,Normal,,,,,,,0.5,0.5,0.5,0.5,20.0,
2025-01-03,LR8888.CZCE,LR8888,CZCE,2360.0,2360.0,2360.0,2360.0,0,0.0,0,2691.001,2029.0,,,,Normal,,0.0,,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,20.0,
2025-01-06,LR8888.CZCE,LR8888,CZCE,2360.0,2360.0,2360.0,2360.0,0,0.0,0,2691.001,2029.0,,,,Normal,,0.0,,,,,0.25,0.25,0.25,0.25,20.0,
2025-01-07,LR8888.CZCE,LR8888,CZCE,2360.0,2360.0,2360.0,2360.0,0,0.0,0,2691.001,2029.0,,,,Normal,,0.0,,,,,0.2,0.2,0.2,0.2,20.0,
2025-01-08,LR8888.CZCE,LR8888,CZCE,2360.0,2360.0,2360.0,2360.0,0,0.0,0,2691.001,2029.0,,,,Normal,2360.0,0.0,,,,,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,20.0,
2025-01-09,LR8888.CZCE,LR8888,CZCE,2360.0,2360.0,2360.0,2360.0,0,0.0,0,2691.001,2029.0,,,,Normal,2360.0,0.0,,,,,0.16666666666666666,0.14285714285714285,0.14285714285714285,0.14285714285714285,20.0,
2025-01-10,LR8888.CZCE,LR8888,CZCE,2360.0,2360.0,2360.0,2360.0,0,0.0,0,2691.001,2029.0,,,,Normal,2360.0,0.0,,,,,0.16666666666666666,0.125,0.125,0.125,20.0,
2025-01-13,LR8888.CZCE,LR8888,CZCE,2360.0,2360.0,2360.0,2360.0,0,0.0,0,2691.001,2029.0,,,,Normal,2360.0,0.0,,,,,0.16666666666666666,0.1111111111111111,0.1111111111111111,0.1111111111111111,20.0,
2025-01-14,LR8888.CZCE,LR8888,CZCE,2360.0,2360.0,2360.0,2360.0,0,0.0,0,2691.001,2029.0,,,,Normal,2360.0,0.0,,,,,0.16666666666666666,0.1,0.1,0.1,20.0,
2025-01-15,LR8888.CZCE,LR8888,CZCE,2360.0,2360.0,2360.0,2360.0,0,0.0,0,2691.001,2029.0,,,,Normal,2360.0,0.0,,,,,0.16666666666666666,0.09090909090909091,0.09090909090909091,0.09090909090909091,20.0,
